   1.96589005      -1.99810982      -2.12955070      0.108044840      0.128192112      0.118781112    
   2.15990925      -1.91808665      -2.04944158      0.286778599       6.28884062E-02  0.136822134    
   2.07340813      -1.77133071      -1.85793924      0.213169172      0.260828108      0.104840502    
   2.05753112      -1.61725163      -1.84509194      0.260441929      0.130978048      0.150964648    
   2.03332734      -1.65321624      -1.68180668      0.106732875      0.101522073      0.287371427    
   2.06581426      -1.65481973      -1.63051367      -5.71982339E-02  -1.49405645E-02   8.86396170E-02
   2.20363212      -1.57506967      -1.48839974       9.34351534E-02   4.17218059E-02  0.147180110    
   2.07507539      -1.65257311      -1.40025449       1.36160217E-02   2.10738499E-02  0.183522925    
   2.09102440      -1.53239405      -1.45817244       2.46712286E-02   6.76092952E-02  0.183116689    
   2.23886847      -1.60720897      -1.56907225      -9.09963772E-02  0.241221279       7.10768625E-02
   2.22959757      -1.64632535      -1.56060088     -0.285114259       7.76088387E-02  0.229111373    
   2.03381228      -1.61974764      -1.59603119     -0.199602410      0.254120022      0.400336355    
   1.95224714      -1.42843831      -1.64840853      -1.15567390E-02   9.39671546E-02  0.424359590    
   1.86413002      -1.58528495      -1.48363769       9.26047638E-02  0.284332752      0.391938508    
   1.86635530      -1.63319337      -1.67078090       3.66103239E-02  0.115396902      0.590872645    
   1.97446191      -1.77729058      -1.70285046      -8.34983811E-02   5.44004627E-02  0.599859476    
   2.00839877      -1.60454464      -1.88164794       3.40108909E-02  0.233288959      0.690205634    
   1.90169609      -1.51601982      -1.98056602       2.55538970E-02  0.191842660      0.545448422    
   1.75429559      -1.70183945      -1.99811578      0.160470515      0.230107725      0.449003279    
   1.70592189      -1.52654290      -1.92815745      0.313564748       3.19866501E-02  0.324209303    
   1.85871005      -1.62550712      -1.90579557      0.171127647      0.190912515      0.285116106    
   1.78989828      -1.78966641      -1.98035669      0.314079553       4.86019403E-02  0.303027749    
   1.82634771      -1.63337386      -2.11849642      0.489500135       2.45413999E-03  0.184377879    
   1.96585476      -1.70732725      -2.23175621      0.454380542      -6.17239741E-04  0.171424448    
   1.94659114      -1.52797163      -2.17725301      0.639625132     -0.191220120      0.109008774    
