0.100000001      0.052359879       0.12388175       0.12396663       1.14026904       2.38817406       2.11787629       2.86199498
0.200000003      0.104719758       0.31036899       0.31063309       1.31743264       2.75922465       2.35198402       3.17835689
0.300000012      0.157079652       0.59339255       0.59001345       1.55649579       3.25991726       2.65374684       3.58614445
0.400000006      0.209439516       1.00493109       1.00720081       1.80520809       3.78081918       2.88308287       3.89605808
0.500000000      0.261799395       1.63316286       1.63121530       2.16418147       4.53265142       3.21480322       4.34432888
0.600000024      0.314159304       2.57787704       2.57005286       2.62324071       5.49410248       3.49475241       4.72263861  
0.699999988      0.366519123       3.96398044       3.99711458       3.18048143       6.66118479       3.79264259       5.12519264
0.800000012      0.418879032       6.05551338       6.19975567       3.92081690       8.21173954       4.12656355       5.57643700
0.899999976      0.471238881       9.47990227       9.67151439       5.05753279       10.5924721       4.36614180       5.90019131
0.949999988      0.497418851       11.7979517       12.1365280       5.73907518       12.0198917       4.49941874       6.08029604
0.980000019      0.513126791       13.6325941       13.9370775       6.29026318       13.1742964       4.53792763       6.13233471 
