           1   3.99999990E-04   6.64510202    
           2   7.99999980E-04   5.22930861    
           3   1.19999994E-03   4.01172924    
           4   1.59999996E-03   2.98851562    
           5   1.99999986E-03   2.10672426    
           6   2.39999988E-03   1.33389270    
           7   2.79999990E-03  0.621527076    
           8   3.19999992E-03  -1.82114132E-02
           9   3.59999994E-03 -0.531709909    
          10   3.99999972E-03 -0.954202890    
          11   4.39999998E-03  -1.36055851    
          12   4.79999976E-03  -1.75194716    
          13   5.20000001E-03  -2.11049271    
          14   5.59999980E-03  -2.41238260    
          15   6.00000005E-03  -2.70745754    
          16   6.39999984E-03  -2.92064190    
          17   6.79999962E-03  -3.13165140    
          18   7.19999988E-03  -3.31363773    
          19   7.59999966E-03  -3.43780351    
          20   7.99999945E-03  -3.57811975    
          21   8.39999970E-03  -3.71999097    
          22   8.79999995E-03  -3.83108187    
          23   9.20000020E-03  -3.94406867    
          24   9.59999952E-03  -4.08705807    
          25   9.99999978E-03  -4.19674873    
          26   1.04000000E-02  -4.28617620    
          27   1.07999993E-02  -4.37989140    
          28   1.11999996E-02  -4.46153641    
          29   1.15999999E-02  -4.53624630    
          30   1.20000001E-02  -4.59997225    
          31   1.23999994E-02  -4.65746403    
          32   1.27999997E-02  -4.70836735    
          33   1.31999999E-02  -4.76923084    
          34   1.35999992E-02  -4.81930780    
          35   1.39999995E-02  -4.87018061    
          36   1.43999998E-02  -4.91530180    
          37   1.48000000E-02  -4.95819807    
          38   1.51999993E-02  -5.00182533    
          39   1.55999996E-02  -5.02368402    
          40   1.59999989E-02  -5.07330656    
          41   1.64000001E-02  -5.10094738    
          42   1.67999994E-02  -5.12831068    
          43   1.71999987E-02  -5.14460611    
          44   1.75999999E-02  -5.16560602    
          45   1.79999992E-02  -5.18525839    
          46   1.84000004E-02  -5.21767569    
          47   1.87999997E-02  -5.23759699    
          48   1.91999990E-02  -5.24535561    
          49   1.96000002E-02  -5.25502014    
          50   1.99999996E-02  -5.27701712    
          51   2.03999989E-02  -5.29391146    
          52   2.08000001E-02  -5.31468630    
          53   2.11999994E-02  -5.33525467    
          54   2.15999987E-02  -5.35853720    
          55   2.19999999E-02  -5.38474560    
          56   2.23999992E-02  -5.40580511    
          57   2.27999985E-02  -5.42259979    
          58   2.31999997E-02  -5.44739342    
          59   2.35999990E-02  -5.46296692    
          60   2.40000002E-02  -5.48608446    
          61   2.43999995E-02  -5.50975084    
          62   2.47999988E-02  -5.52239799    
          63   2.52000000E-02  -5.54004622    
          64   2.55999994E-02  -5.54481745    
          65   2.59999987E-02  -5.54508877    
          66   2.63999999E-02  -5.55923462    
          67   2.67999992E-02  -5.57903337    
          68   2.71999985E-02  -5.59562063    
          69   2.75999997E-02  -5.59508419    
          70   2.79999990E-02  -5.60818720    
          71   2.84000002E-02  -5.62033749    
          72   2.87999995E-02  -5.63924837    
          73   2.91999988E-02  -5.66768885    
          74   2.96000000E-02  -5.67273664    
          75   2.99999993E-02  -5.67470884    
          76   3.03999986E-02  -5.68228531    
          77   3.07999998E-02  -5.69288540    
          78   3.11999992E-02  -5.70954609    
          79   3.15999985E-02  -5.72274542    
          80   3.19999978E-02  -5.73585463    
          81   3.24000008E-02  -5.74434519    
          82   3.28000002E-02  -5.74586248    
          83   3.31999995E-02  -5.75299692    
          84   3.35999988E-02  -5.75801945    
          85   3.39999981E-02  -5.76154661    
          86   3.43999974E-02  -5.78313303    
          87   3.48000005E-02  -5.80869675    
          88   3.51999998E-02  -5.80841780    
          89   3.55999991E-02  -5.81864977    
          90   3.59999985E-02  -5.83391857    
          91   3.63999978E-02  -5.84085321    
          92   3.68000008E-02  -5.83798361    
          93   3.72000001E-02  -5.84586906    
          94   3.75999995E-02  -5.83726168    
          95   3.79999988E-02  -5.84716368    
          96   3.83999981E-02  -5.85092354    
          97   3.87999974E-02  -5.86532354    
          98   3.92000005E-02  -5.86747789    
          99   3.95999998E-02  -5.87828255    
         100   3.99999991E-02  -5.87535524    
         101   4.03999984E-02  -5.89193439    
         102   4.07999977E-02  -5.89632940    
         103   4.12000008E-02  -5.90866899    
         104   4.16000001E-02  -5.92190027    
         105   4.19999994E-02  -5.91849327    
         106   4.23999988E-02  -5.91743803    
         107   4.27999981E-02  -5.93029737    
         108   4.31999974E-02  -5.94248676    
         109   4.36000004E-02  -5.93872356    
         110   4.39999998E-02  -5.94700909    
         111   4.43999991E-02  -5.95639038    
         112   4.47999984E-02  -5.96817684    
         113   4.51999977E-02  -5.98446369    
         114   4.55999970E-02  -5.98499441    
         115   4.60000001E-02  -5.98416233    
         116   4.63999994E-02  -5.98582220    
         117   4.67999987E-02  -5.99496078    
         118   4.71999981E-02  -5.98302603    
         119   4.75999974E-02  -5.99352121    
         120   4.80000004E-02  -5.99386740    
         121   4.83999997E-02  -5.98715353    
         122   4.87999991E-02  -5.99794006    
         123   4.91999984E-02  -6.00439262    
         124   4.95999977E-02  -6.00729990    
         125   4.99999970E-02  -6.01064920    
         126   5.04000001E-02  -6.01515341    
         127   5.07999994E-02  -6.01591158    
         128   5.11999987E-02  -6.02777767    
         129   5.15999980E-02  -6.04147720    
         130   5.19999973E-02  -6.04366302    
         131   5.24000004E-02  -6.04975796    
         132   5.27999997E-02  -6.04682255    
         133   5.31999990E-02  -6.05142784    
         134   5.35999984E-02  -6.06237459    
         135   5.39999977E-02  -6.06081390    
         136   5.43999970E-02  -6.06307125    
         137   5.48000000E-02  -6.06889629    
         138   5.51999994E-02  -6.07706404    
         139   5.55999987E-02  -6.07292414    
         140   5.59999980E-02  -6.07858419    
